student_id,email,first_name,last_name,signup_ts,source_system
S0039,student39@yahoo.com,Emma,Jones,2025-10-18 09:47:48,lms_canvas
S0040,student40@outlook.com,Ava,Smith,2025-06-06 18:26:48,lms_canvas
S0041,student41@gmail.com,Mason,Johnson,2025-11-03 08:46:48,lms_canvas
S0042,student42@yahoo.com,Sophia,Johnson,2025-10-02 16:46:48,lms_canvas
S0043,student43@gmail.com,Sophia,Garcia,2025-09-26 04:42:48,lms_moodle
S0044,student44@yahoo.com,Olivia,Miller,2025-11-30 13:43:48,lms_moodle
S0045,student45@example.com,Mia,Johnson,2026-02-01 20:45:48,lms_canvas
S0046,student46@gmail.com,Mason,Brown,2025-05-23 03:16:48,lms_moodle
S0047,student47@gmail.com,Emma,Garcia,2025-09-14 05:56:48,lms_moodle
S0048,student48@gmail.com,Mason,Jones,2025-12-15 07:08:48,lms_canvas
S0049,student49@gmail.com,Mason,Williams,2025-09-20 01:46:48,lms_canvas
S0050,student50@outlook.com,Emma,Jones,2025-05-23 20:08:48,lms_canvas
S0051,student51@gmail.com,Sophia,Jones,2026-01-15 11:03:48,lms_canvas
S0052,student52@outlook.com,Liam,Davis,2025-04-29 12:57:48,lms_canvas
S0053,student53@gmail.com,Noah,Williams,2025-05-03 09:31:48,lms_moodle
S0054,student54@yahoo.com,Sophia,Williams,2026-01-16 02:01:48,lms_canvas
S0055,student55@outlook.com,Emma,Brown,2025-12-15 23:35:48,lms_moodle
S0056,student56@yahoo.com,Emma,Williams,2025-11-07 22:23:48,lms_canvas
S0057,student57@outlook.com,Sophia,Brown,2025-09-23 05:34:48,lms_canvas
S0058,student58@example.com,Ava,Davis,2025-10-16 04:32:48,lms_moodle
S0059,student59@outlook.com,Olivia,Brown,2025-10-15 10:42:48,lms_canvas
S0060,student60@example.com,Mia,Jones,2026-01-02 03:02:48,lms_moodle
S0061,student61@outlook.com,Ava,Johnson,2025-09-26 05:47:48,lms_moodle
S0062,student62@gmail.com,Noah,Miller,2025-08-13 11:34:48,lms_moodle
S0063,student63@example.com,Amelia,Johnson,2025-07-23 17:12:48,lms_moodle
S0064,student64@gmail.com,Sophia,Smith,2025-05-15 17:41:48,lms_canvas
S0065,student65@outlook.com,Sophia,Johnson,2025-08-20 16:04:48,lms_canvas
S0066,student66@outlook.com,Mason,Jones,2025-07-12 00:59:48,lms_moodle
S0067,student67@yahoo.com,Emma,Miller,2025-07-26 13:37:48,lms_canvas
S0068,student68@outlook.com,Sophia,Smith,2025-09-04 02:11:48,lms_moodle
S0069,student69@outlook.com,Ethan,Davis,2025-06-24 14:11:48,lms_moodle
S0070,student70@yahoo.com,Noah,Jones,2025-05-18 13:44:48,lms_moodle
S0071,student71@gmail.com,Emma,Jones,2025-10-14 05:15:48,lms_canvas
S0072,student72@gmail.com,Emma,Davis,2025-12-30 20:58:48,lms_canvas
S0073,student73@example.com,Ethan,Miller,2025-10-05 06:43:48,lms_canvas
S0074,student74@gmail.com,Sophia,Brown,2025-11-07 12:51:48,lms_moodle
S0075,student75@gmail.com,Mason,Brown,2025-12-05 21:16:48,lms_moodle
S0076,student76@outlook.com,Ethan,Miller,2025-05-01 20:27:48,lms_canvas
S0077,student77@example.com,Ethan,Jones,2025-10-02 15:07:48,lms_moodle
S0078,student78@yahoo.com,Olivia,Davis,2025-12-28 13:06:48,lms_canvas
S0079,student79@outlook.com,Mia,Garcia,2025-05-06 09:16:48,lms_canvas
S0080,student80@yahoo.com,Sophia,Williams,2025-10-20 08:58:48,lms_moodle
S0081,student81@outlook.com,Mason,Davis,2025-07-09 10:11:48,lms_moodle
S0082,student82@example.com,Amelia,Smith,2025-07-26 20:24:48,lms_moodle
S0083,student83@outlook.com,Sophia,Miller,2025-05-06 11:37:48,lms_canvas
S0084,student84@example.com,Emma,Jones,2025-06-27 20:23:48,lms_moodle
S0085,student85@outlook.com,Sophia,Williams,2025-06-12 06:45:48,lms_canvas
S0086,student86@example.com,Amelia,Smith,2025-12-25 14:57:48,lms_canvas
S0087,student87@example.com,Liam,Smith,2025-09-25 23:04:48,lms_canvas
S0088,student88@example.com,Mia,Garcia,2025-07-27 02:36:48,lms_moodle
S0089,student89@outlook.com,Noah,Davis,2026-01-27 11:50:48,lms_canvas
S0090,student90@outlook.com,Emma,Johnson,2026-01-17 11:09:48,lms_canvas
S0091,student91@gmail.com,Amelia,Williams,2025-10-07 06:54:48,lms_canvas
S0092,student92@yahoo.com,Ethan,Jones,2025-08-02 05:46:48,lms_canvas
S0093,student93@yahoo.com,Olivia,Johnson,2026-01-24 01:48:48,lms_moodle
S0094,student94@example.com,Emma,Johnson,2025-10-05 07:40:48,lms_moodle
S0095,student95@gmail.com,Amelia,Smith,2025-08-12 17:57:48,lms_moodle
S0096,student96@gmail.com,Mason,Garcia,2026-01-30 21:32:48,lms_moodle
S0097,student97@gmail.com,Sophia,Garcia,2025-06-15 13:15:48,lms_moodle
S0098,student98@yahoo.com,Mason,Jones,2025-05-06 19:55:48,lms_moodle
S0099,student99@outlook.com,Mia,Brown,2025-12-24 02:28:48,lms_moodle
S0100,student100@yahoo.com,Ethan,Miller,2025-08-18 10:53:48,lms_moodle
S0101,student101@yahoo.com,Ethan,Brown,2025-08-09 03:03:48,lms_moodle
S0102,student102@outlook.com,Mason,Smith,2025-05-18 05:19:48,lms_canvas
S0103,student103@example.com,Ethan,Brown,2025-06-07 14:39:48,lms_moodle
S0104,student104@example.com,Ava,Johnson,2025-09-09 03:59:48,lms_canvas
S0105,student105@outlook.com,Amelia,Garcia,2025-06-08 17:51:48,lms_moodle
S0106,student106@example.com,Mason,Garcia,2025-08-09 12:55:48,lms_moodle
S0107,student107@outlook.com,Olivia,Brown,2025-12-06 12:12:48,lms_moodle
S0108,student108@gmail.com,Mason,Williams,2025-10-31 04:37:48,lms_moodle
S0109,student109@outlook.com,Amelia,Jones,2025-12-17 05:06:48,lms_canvas
S0110,student110@outlook.com,Liam,Jones,2026-01-29 12:50:48,lms_canvas
S0111,student111@outlook.com,Ava,Smith,2025-04-29 01:40:48,lms_canvas
S0112,student112@example.com,Noah,Smith,2025-09-13 19:54:48,lms_moodle
S0113,student113@outlook.com,Liam,Smith,2025-09-29 20:17:48,lms_canvas
S0114,student114@example.com,Ethan,Johnson,2026-01-10 07:15:48,lms_moodle
S0115,student115@gmail.com,Emma,Johnson,2025-04-26 21:46:48,lms_canvas
S0116,student116@example.com,Ethan,Davis,2025-09-06 16:57:48,lms_moodle
S0117,student117@gmail.com,Amelia,Johnson,2025-10-22 15:11:48,lms_moodle
S0118,student118@gmail.com,Liam,Brown,2025-11-09 18:20:48,lms_canvas
S0119,student119@gmail.com,Sophia,Davis,2025-06-11 02:22:48,lms_canvas
S0120,student120@outlook.com,Olivia,Davis,2025-12-31 14:10:48,lms_moodle
S0121,student121@yahoo.com,Sophia,Johnson,2025-05-04 03:43:48,lms_canvas
S0122,student122@outlook.com,Liam,Johnson,2026-01-07 05:34:48,lms_moodle
S0123,student123@outlook.com,Ethan,Johnson,2025-06-11 13:05:48,lms_moodle
S0124,student124@outlook.com,Mason,Davis,2025-06-27 08:46:48,lms_canvas
S0125,student125@example.com,Mia,Jones,2026-01-24 09:10:48,lms_canvas
S0126,student126@outlook.com,Amelia,Smith,2025-11-08 19:51:48,lms_moodle
S0127,student127@outlook.com,Liam,Miller,2025-05-31 08:54:48,lms_moodle
S0128,student128@example.com,Mia,Garcia,2025-12-15 06:03:48,lms_moodle
S0129,student129@example.com,Olivia,Miller,2025-05-01 09:55:48,lms_canvas
S0130,student130@outlook.com,Olivia,Garcia,2025-12-08 22:29:48,lms_canvas
S0131,student131@example.com,Sophia,Smith,2025-11-01 19:01:48,lms_moodle
S0132,student132@example.com,Ava,Brown,2025-09-22 18:16:48,lms_moodle
S0133,student133@example.com,Ethan,Johnson,2026-01-22 14:46:48,lms_canvas
S0134,student134@yahoo.com,Olivia,Smith,2025-04-29 22:19:48,lms_canvas
S0135,student135@gmail.com,Ethan,Johnson,2025-11-19 19:25:48,lms_moodle
S0136,student136@outlook.com,Sophia,Davis,2025-06-10 03:55:48,lms_canvas
S0137,student137@example.com,Emma,Williams,2026-01-02 02:35:48,lms_moodle
S0138,student138@outlook.com,Mason,Jones,2026-02-05 01:38:48,lms_moodle
S0139,student139@example.com,Liam,Davis,2025-05-06 20:02:48,lms_moodle
S0140,student140@example.com,Ethan,Garcia,2025-11-01 13:09:48,lms_moodle
S0141,student141@yahoo.com,Sophia,Smith,2025-08-27 11:54:48,lms_moodle
S0142,student142@example.com,Liam,Davis,2026-01-19 06:52:48,lms_moodle
S0143,student143@gmail.com,Ethan,Johnson,2025-05-12 21:24:48,lms_canvas
S0144,student144@example.com,Liam,Johnson,2025-06-11 03:03:48,lms_moodle
S0145,student145@gmail.com,Mia,Miller,2025-08-27 14:39:48,lms_moodle
S0146,student146@gmail.com,Amelia,Johnson,2025-10-08 14:41:48,lms_moodle
S0147,student147@yahoo.com,Noah,Miller,2025-12-17 14:39:48,lms_canvas
S0148,student148@example.com,Liam,Jones,2026-01-23 10:04:48,lms_canvas
S0149,student149@outlook.com,Mia,Garcia,2025-07-01 07:09:48,lms_moodle
S0150,student150@yahoo.com,Liam,Williams,2025-12-27 15:29:48,lms_moodle
S0151,student151@yahoo.com,Ethan,Williams,2025-10-10 20:44:48,lms_moodle
S0152,student152@example.com,Olivia,Smith,2025-06-13 01:41:48,lms_canvas
S0153,student153@gmail.com,Ethan,Garcia,2025-09-05 14:57:48,lms_moodle
S0154,student154@example.com,Olivia,Brown,2025-07-24 20:18:48,lms_canvas
S0155,student155@example.com,Amelia,Garcia,2025-09-07 13:06:48,lms_canvas
S0156,student156@example.com,Olivia,Smith,2025-04-22 13:35:48,lms_canvas
S0157,student157@example.com,Olivia,Brown,2025-08-10 03:44:48,lms_canvas
S0158,student158@outlook.com,Liam,Johnson,2026-01-17 01:34:48,lms_moodle
S0159,student159@gmail.com,Amelia,Garcia,2025-12-01 08:26:48,lms_moodle
S0160,student160@outlook.com,Sophia,Williams,2025-10-27 06:34:48,lms_moodle
S0161,student161@outlook.com,Liam,Jones,2025-06-05 01:37:48,lms_moodle
S0162,student162@gmail.com,Ethan,Johnson,2025-11-26 03:29:48,lms_moodle
S0163,student163@outlook.com,Noah,Miller,2026-01-30 02:50:48,lms_canvas
S0164,student164@example.com,Mia,Jones,2025-07-25 15:01:48,lms_canvas
S0165,student165@yahoo.com,Ethan,Smith,2025-04-25 00:26:48,lms_canvas
S0166,student166@gmail.com,Ethan,Jones,2025-07-12 08:16:48,lms_canvas
S0167,student167@gmail.com,Olivia,Davis,2025-12-09 08:09:48,lms_canvas
S0168,student168@example.com,Ethan,Garcia,2025-05-05 21:47:48,lms_canvas
S0169,student169@example.com,Noah,Davis,2025-07-13 03:22:48,lms_moodle
S0170,student170@yahoo.com,Ethan,Davis,2025-10-09 00:18:48,lms_moodle
S0171,student171@outlook.com,Ava,Miller,2025-09-18 05:17:48,lms_moodle
S0172,student172@gmail.com,Emma,Smith,2026-01-12 01:09:48,lms_canvas
S0173,student173@yahoo.com,Noah,Brown,2025-10-19 04:03:48,lms_canvas
S0174,student174@gmail.com,Olivia,Williams,2025-12-01 18:08:48,lms_canvas
S0175,student175@gmail.com,Ava,Williams,2026-01-29 23:34:48,lms_canvas
S0176,student176@outlook.com,Ava,Williams,2025-09-24 10:16:48,lms_moodle
S0177,student177@gmail.com,Noah,Davis,2025-06-21 23:52:48,lms_canvas
S0178,student178@example.com,Mason,Brown,2026-01-14 11:34:48,lms_moodle
S0179,student179@example.com,Ava,Smith,2025-06-05 22:57:48,lms_canvas
S0180,student180@example.com,Ethan,Johnson,2025-12-27 00:46:48,lms_canvas
S0181,student181@gmail.com,Liam,Jones,2025-05-01 13:04:48,lms_moodle
S0182,student182@outlook.com,Ethan,Miller,2025-12-17 13:17:48,lms_canvas
S0183,student183@example.com,Ethan,Brown,2025-07-10 00:32:48,lms_moodle
S0184,student184@example.com,Sophia,Johnson,2025-08-29 22:04:48,lms_moodle
S0185,student185@outlook.com,Liam,Davis,2026-01-03 08:31:48,lms_canvas
S0186,student186@gmail.com,Sophia,Johnson,2025-07-31 06:49:48,lms_canvas
S0187,student187@outlook.com,Noah,Miller,2025-08-08 13:36:48,lms_moodle
S0188,student188@gmail.com,Olivia,Jones,2025-08-10 07:48:48,lms_canvas
S0189,student189@yahoo.com,Ethan,Brown,2025-12-12 23:30:48,lms_moodle
S0190,student190@gmail.com,Olivia,Brown,2025-07-01 17:35:48,lms_canvas
S0191,student191@outlook.com,Ava,Williams,2025-09-19 12:36:48,lms_moodle
S0192,student192@outlook.com,Mia,Smith,2025-11-06 06:48:48,lms_moodle
S0193,student193@gmail.com,Liam,Smith,2025-12-21 11:51:48,lms_canvas
S0194,student194@example.com,Sophia,Davis,2025-08-16 06:01:48,lms_moodle
S0195,student195@outlook.com,Amelia,Johnson,2026-01-11 07:14:48,lms_canvas
S0196,student196@gmail.com,Olivia,Davis,2025-07-03 19:46:48,lms_moodle
S0197,student197@example.com,Olivia,Brown,2025-05-20 08:02:48,lms_moodle
S0198,student198@gmail.com,Olivia,Davis,2025-05-12 14:05:48,lms_canvas
S0199,student199@yahoo.com,Sophia,Smith,2026-02-03 05:05:48,lms_canvas
S0200,student200@yahoo.com,Olivia,Jones,2025-08-23 08:24:48,lms_moodle
